word,count
app,12
bitte,13
danube,17
danubealert,34
deutschland,26
donau,17
duernstein,17
europa,14
europe,18
geht,16
germany,14
grein,17
history,13
hitze,35
hitzewelle,51
immer,16
indien,20
jahren,12
july,20
jungen,16
klima,16
klimakrise,51
klimaschutz,15
korneuburg,18
luxembourg,18
mal,11
mauthausen,17
menschen,35
merz,14
naechste,15
nature,13
netherlands,12
neue,12
oebb,11
photography,12
post,14
run,13
schon,26
seit,19
social,17
sommer,11
spanien,12
time,11
today,11
waldbraende,24
water,14
wetter,15
wiener,14
wienerlinien,41
wilhering,17
