word,count
app,12
bitte,13
danube,18
danubealert,36
data,12
deutschland,27
donau,17
duernstein,18
europa,18
europe,18
geht,16
germany,14
grad,13
grein,18
history,13
hitze,34
hitzewelle,51
immer,18
indien,20
jahren,12
july,21
jungen,16
klima,14
klimakrise,52
klimaschutz,15
korneuburg,19
luxembourg,18
mal,11
mauthausen,18
menschen,35
merz,13
naechste,16
nature,13
netherlands,12
neue,12
oebb,11
photography,12
post,14
run,13
schon,25
seit,19
social,17
sommer,11
spanien,12
waldbraende,24
water,15
wetter,15
wiener,14
wienerlinien,41
wilhering,18
